State Test English Language Arts (ELA) Results 2015 to 2017,,,,,,ELA Overall Performance Levels,,,,,,,,Reading Literary Text Subscores,,,,Reading Information Subscores,,,,Vocabulary Subscores,,,,,Writing Expression Subscores,,,,Writing Conventions Subscores,,
School ID,Year,Test Name,# Students Tested,,Overall ELA Mean Scale Score,% Did Not Meet,% Partially Met,% Approached,% Met,% Exceeded,% Met or Exceeded,Reading Mean Scale Score,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,Writing Mean Scale Score,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded
609975,2017,ELA/Literacy Grade 3,49,,713,38.8%,24.5%,24.5%,12.2%,0.0%,12.2%,35,,75.5%,16.3%,8.2%,,61.2%,28.6%,10.2%,,53.1%,24.5%,22.4%,25,,55.1%,30.6%,14.3%,,55.1%,22.4%,22.4%
609976,2017,ELA/Literacy Grade 3,118,,737,21.2%,16.9%,25.4%,30.5%,5.9%,36.4%,43,,52.5%,20.3%,27.1%,,41.5%,22.0%,36.4%,,52.5%,15.3%,32.2%,33,,39.0%,13.6%,47.5%,,29.7%,11.0%,59.3%
609977,2017,ELA/Literacy Grade 3,29,,718,27.6%,37.9%,13.8%,20.7%,0.0%,20.7%,39,,62.1%,17.2%,20.7%,,58.6%,20.7%,20.7%,,48.3%,20.7%,31.0%,25,,58.6%,27.6%,13.8%,,48.3%,27.6%,24.1%
609978,2017,ELA/Literacy Grade 3,41,,706,43.9%,31.7%,14.6%,9.8%,0.0%,9.8%,32,,82.9%,12.2%,4.9%,,70.7%,17.1%,12.2%,,75.6%,14.6%,9.8%,25,,68.3%,19.5%,12.2%,,68.3%,7.3%,24.4%
609979,2017,ELA/Literacy Grade 3,169,,760,8.3%,11.2%,18.9%,47.3%,14.2%,61.5%,51,,30.2%,17.2%,52.7%,,20.7%,28.4%,50.9%,,27.8%,18.3%,53.8%,39,,22.5%,14.8%,62.7%,,10.7%,10.1%,79.3%
609981,2017,ELA/Literacy Grade 3,31,,717,35.5%,19.4%,25.8%,19.4%,0.0%,19.4%,36,,77.4%,3.2%,19.4%,,58.1%,25.8%,16.1%,,58.1%,12.9%,29.0%,28,,54.8%,19.4%,25.8%,,51.6%,16.1%,32.3%
609983,2017,ELA/Literacy Grade 3,80,,701,53.8%,25.0%,11.3%,10.0%,0.0%,10.0%,32,,76.3%,12.5%,11.3%,,72.5%,17.5%,10.0%,,78.8%,7.5%,13.8%,20,,82.5%,10.0%,7.5%,,72.5%,10.0%,17.5%
609985,2017,ELA/Literacy Grade 3,28,,761,7.1%,7.1%,7.1%,78.6%,0.0%,78.6%,58,,14.3%,3.6%,82.1%,,14.3%,21.4%,64.3%,,14.3%,7.1%,78.6%,34,,17.9%,28.6%,53.6%,,21.4%,25.0%,53.6%
609986,2017,ELA/Literacy Grade 3,28,,720,28.6%,25.0%,25.0%,21.4%,0.0%,21.4%,37,,53.6%,32.1%,14.3%,,53.6%,28.6%,17.9%,,60.7%,17.9%,21.4%,28,,42.9%,21.4%,35.7%,,42.9%,3.6%,53.6%
609987,2017,ELA/Literacy Grade 3,32,,702,43.8%,28.1%,28.1%,0.0%,0.0%,0.0%,32,,81.3%,6.3%,12.5%,,68.8%,28.1%,3.1%,,59.4%,28.1%,12.5%,21,,90.6%,6.3%,3.1%,,62.5%,28.1%,9.4%
609988,2017,ELA/Literacy Grade 3,88,,720,33.0%,21.6%,20.5%,22.7%,2.3%,25.0%,38,,62.5%,22.7%,14.8%,,58.0%,22.7%,19.3%,,59.1%,15.9%,25.0%,28,,52.3%,23.9%,23.9%,,40.9%,23.9%,35.2%
609990,2017,ELA/Literacy Grade 3,74,,766,2.7%,9.5%,20.3%,56.8%,10.8%,67.6%,55,,21.6%,12.2%,66.2%,,20.3%,17.6%,62.2%,,14.9%,14.9%,70.3%,38,,16.2%,18.9%,64.9%,,17.6%,16.2%,66.2%
609991,2017,ELA/Literacy Grade 3,69,,693,63.8%,24.6%,7.2%,4.3%,0.0%,4.3%,29,,89.9%,5.8%,4.3%,,81.2%,13.0%,5.8%,,81.2%,13.0%,5.8%,18,,87.0%,7.2%,5.8%,,88.4%,5.8%,5.8%
609993,2017,ELA/Literacy Grade 3,53,,707,47.2%,24.5%,13.2%,15.1%,0.0%,15.1%,34,,73.6%,11.3%,15.1%,,69.8%,15.1%,15.1%,,69.8%,7.5%,22.6%,23,,75.5%,7.5%,17.0%,,79.2%,9.4%,11.3%
609994,2017,ELA/Literacy Grade 3,125,,729,17.6%,25.6%,32.8%,23.2%,0.8%,24.0%,40,,55.2%,17.6%,27.2%,,49.6%,31.2%,19.2%,,52.8%,19.2%,28.0%,31,,48.0%,19.2%,32.8%,,32.0%,20.0%,48.0%
609995,2017,ELA/Literacy Grade 3,60,,743,6.7%,21.7%,30.0%,40.0%,1.7%,41.7%,46,,41.7%,18.3%,40.0%,,36.7%,31.7%,31.7%,,31.7%,23.3%,45.0%,35,,33.3%,25.0%,41.7%,,13.3%,10.0%,76.7%
609996,2017,ELA/Literacy Grade 3,54,,733,24.1%,22.2%,18.5%,33.3%,1.9%,35.2%,43,,48.1%,18.5%,33.3%,,44.4%,22.2%,33.3%,,48.1%,18.5%,33.3%,29,,50.0%,13.0%,37.0%,,46.3%,14.8%,38.9%
609997,2017,ELA/Literacy Grade 3,23,,699,47.8%,39.1%,8.7%,4.3%,0.0%,4.3%,29,,87.0%,8.7%,4.3%,,87.0%,13.0%,0.0%,,91.3%,4.3%,4.3%,22,,78.3%,8.7%,13.0%,,60.9%,30.4%,8.7%
610000,2017,ELA/Literacy Grade 3,58,,710,32.8%,32.8%,24.1%,10.3%,0.0%,10.3%,33,,77.6%,15.5%,6.9%,,65.5%,25.9%,8.6%,,70.7%,15.5%,13.8%,26,,62.1%,20.7%,17.2%,,53.4%,19.0%,27.6%
610002,2017,ELA/Literacy Grade 3,30,,725,26.7%,20.0%,30.0%,23.3%,0.0%,23.3%,37,,60.0%,26.7%,13.3%,,46.7%,33.3%,20.0%,,60.0%,10.0%,30.0%,31,,33.3%,20.0%,46.7%,,33.3%,26.7%,40.0%
610003,2017,ELA/Literacy Grade 3,41,,709,34.1%,24.4%,34.1%,7.3%,0.0%,7.3%,33,,65.9%,26.8%,7.3%,,65.9%,22.0%,12.2%,,73.2%,17.1%,9.8%,26,,58.5%,19.5%,22.0%,,61.0%,14.6%,24.4%
610004,2017,ELA/Literacy Grade 3,21,,707,38.1%,28.6%,23.8%,9.5%,0.0%,9.5%,32,,81.0%,9.5%,9.5%,,76.2%,14.3%,9.5%,,76.2%,19.0%,4.8%,25,,66.7%,14.3%,19.0%,,66.7%,9.5%,23.8%
610005,2017,ELA/Literacy Grade 3,37,,707,37.8%,35.1%,16.2%,10.8%,0.0%,10.8%,33,,67.6%,21.6%,10.8%,,75.7%,21.6%,2.7%,,81.1%,10.8%,8.1%,24,,64.9%,16.2%,18.9%,,59.5%,16.2%,24.3%
610006,2017,ELA/Literacy Grade 3,94,,734,11.7%,24.5%,38.3%,25.5%,0.0%,25.5%,41,,53.2%,22.3%,24.5%,,51.1%,24.5%,24.5%,,60.6%,13.8%,25.5%,34,,27.7%,31.9%,40.4%,,26.6%,16.0%,57.4%
610009,2017,ELA/Literacy Grade 3,67,,771,4.5%,3.0%,16.4%,64.2%,11.9%,76.1%,56,,20.9%,16.4%,62.7%,,14.9%,26.9%,58.2%,,16.4%,9.0%,74.6%,41,,7.5%,19.4%,73.1%,,10.4%,3.0%,86.6%
610010,2017,ELA/Literacy Grade 3,25,,726,24.0%,32.0%,20.0%,20.0%,4.0%,24.0%,42,,64.0%,16.0%,20.0%,,52.0%,20.0%,28.0%,,56.0%,12.0%,32.0%,25,,68.0%,8.0%,24.0%,,48.0%,12.0%,40.0%
610011,2017,ELA/Literacy Grade 3,91,,755,12.1%,8.8%,20.9%,48.4%,9.9%,58.2%,50,,30.8%,18.7%,50.5%,,29.7%,22.0%,48.4%,,30.8%,23.1%,46.2%,37,,23.1%,15.4%,61.5%,,17.6%,7.7%,74.7%
610012,2017,ELA/Literacy Grade 3,28,,702,57.1%,10.7%,10.7%,21.4%,0.0%,21.4%,32,,75.0%,0.0%,25.0%,,71.4%,21.4%,7.1%,,57.1%,25.0%,17.9%,22,,78.6%,7.1%,14.3%,,75.0%,0.0%,25.0%
610013,2017,ELA/Literacy Grade 3,34,,708,44.1%,17.6%,26.5%,11.8%,0.0%,11.8%,34,,67.6%,20.6%,11.8%,,61.8%,23.5%,14.7%,,61.8%,20.6%,17.6%,23,,73.5%,11.8%,14.7%,,55.9%,29.4%,14.7%
610015,2017,ELA/Literacy Grade 3,22,,715,22.7%,31.8%,31.8%,13.6%,0.0%,13.6%,35,,72.7%,18.2%,9.1%,,54.5%,36.4%,9.1%,,68.2%,22.7%,9.1%,27,,50.0%,31.8%,18.2%,,45.5%,31.8%,22.7%
610016,2017,ELA/Literacy Grade 3,27,,746,11.1%,7.4%,22.2%,59.3%,0.0%,59.3%,48,,29.6%,18.5%,51.9%,,18.5%,37.0%,44.4%,,22.2%,29.6%,48.1%,35,,25.9%,25.9%,48.1%,,18.5%,11.1%,70.4%
610017,2017,ELA/Literacy Grade 3,112,,719,35.7%,21.4%,15.2%,25.0%,2.7%,27.7%,36,,67.9%,14.3%,17.9%,,60.7%,16.1%,23.2%,,61.6%,13.4%,25.0%,28,,54.5%,12.5%,33.0%,,45.5%,17.9%,36.6%
610019,2017,ELA/Literacy Grade 3,24,,726,29.2%,16.7%,25.0%,29.2%,0.0%,29.2%,42,,50.0%,20.8%,29.2%,,45.8%,29.2%,25.0%,,54.2%,12.5%,33.3%,27,,62.5%,8.3%,29.2%,,58.3%,8.3%,33.3%
610021,2017,ELA/Literacy Grade 3,46,,729,32.6%,17.4%,10.9%,34.8%,4.3%,39.1%,42,,52.2%,15.2%,32.6%,,41.3%,17.4%,41.3%,,54.3%,8.7%,37.0%,29,,54.3%,13.0%,32.6%,,52.2%,6.5%,41.3%
610022,2017,ELA/Literacy Grade 3,70,,721,22.9%,34.3%,21.4%,21.4%,0.0%,21.4%,36,,74.3%,14.3%,11.4%,,45.7%,37.1%,17.1%,,61.4%,17.1%,21.4%,30,,45.7%,25.7%,28.6%,,38.6%,20.0%,41.4%
610024,2017,ELA/Literacy Grade 3,142,,738,25.4%,9.9%,21.1%,40.1%,3.5%,43.7%,43,,50.0%,14.1%,35.9%,,45.8%,21.8%,32.4%,,47.9%,17.6%,34.5%,33,,32.4%,14.8%,52.8%,,31.7%,13.4%,54.9%
610026,2017,ELA/Literacy Grade 3,80,,743,17.5%,13.8%,22.5%,42.5%,3.8%,46.3%,46,,37.5%,20.0%,42.5%,,32.5%,28.8%,38.8%,,41.3%,18.8%,40.0%,33,,30.0%,21.3%,48.8%,,31.3%,8.8%,60.0%
610027,2017,ELA/Literacy Grade 3,42,,737,19.0%,16.7%,21.4%,35.7%,7.1%,42.9%,45,,45.2%,16.7%,38.1%,,33.3%,35.7%,31.0%,,38.1%,21.4%,40.5%,31,,42.9%,16.7%,40.5%,,45.2%,14.3%,40.5%
610029,2017,ELA/Literacy Grade 3,19,,731,21.1%,26.3%,21.1%,31.6%,0.0%,31.6%,40,,47.4%,36.8%,15.8%,,57.9%,21.1%,21.1%,,47.4%,10.5%,42.1%,31,,47.4%,10.5%,42.1%,,36.8%,21.1%,42.1%
610030,2017,ELA/Literacy Grade 3,26,,713,26.9%,46.2%,15.4%,11.5%,0.0%,11.5%,34,,73.1%,11.5%,15.4%,,69.2%,19.2%,11.5%,,61.5%,19.2%,19.2%,28,,65.4%,19.2%,15.4%,,50.0%,19.2%,30.8%
610032,2017,ELA/Literacy Grade 3,35,,724,28.6%,20.0%,40.0%,5.7%,5.7%,11.4%,39,,57.1%,17.1%,25.7%,,62.9%,22.9%,14.3%,,60.0%,20.0%,20.0%,28,,54.3%,14.3%,31.4%,,48.6%,20.0%,31.4%
610033,2017,ELA/Literacy Grade 3,67,,756,6.0%,6.0%,31.3%,49.3%,7.5%,56.7%,52,,25.4%,22.4%,52.2%,,20.9%,23.9%,55.2%,,22.4%,11.9%,65.7%,36,,23.9%,25.4%,50.7%,,13.4%,20.9%,65.7%
610034,2017,ELA/Literacy Grade 3,34,,700,55.9%,14.7%,8.8%,20.6%,0.0%,20.6%,30,,76.5%,5.9%,17.6%,,67.6%,20.6%,11.8%,,70.6%,8.8%,20.6%,22,,61.8%,23.5%,14.7%,,73.5%,14.7%,11.8%
610036,2017,ELA/Literacy Grade 3,63,,702,47.6%,25.4%,17.5%,9.5%,0.0%,9.5%,32,,73.0%,17.5%,9.5%,,65.1%,27.0%,7.9%,,76.2%,6.3%,17.5%,21,,81.0%,9.5%,9.5%,,69.8%,14.3%,15.9%
610037,2017,ELA/Literacy Grade 3,44,,703,47.7%,34.1%,11.4%,6.8%,0.0%,6.8%,33,,75.0%,18.2%,6.8%,,75.0%,20.5%,4.5%,,75.0%,15.9%,9.1%,21,,79.5%,15.9%,4.5%,,84.1%,9.1%,6.8%
610038,2017,ELA/Literacy Grade 3,95,,790,1.1%,5.3%,9.5%,48.4%,35.8%,84.2%,62,,8.4%,16.8%,74.7%,,12.6%,11.6%,75.8%,,12.6%,12.6%,74.7%,46,,6.3%,9.5%,84.2%,,3.2%,4.2%,92.6%
610039,2017,ELA/Literacy Grade 3,63,,752,4.8%,14.3%,28.6%,46.0%,6.3%,52.4%,48,,39.7%,25.4%,34.9%,,33.3%,31.7%,34.9%,,33.3%,25.4%,41.3%,38,,15.9%,12.7%,71.4%,,17.5%,17.5%,65.1%
610040,2017,ELA/Literacy Grade 3,172,,720,31.4%,24.4%,20.3%,23.3%,0.6%,23.8%,37,,62.8%,16.3%,20.9%,,47.1%,31.4%,21.5%,,65.1%,16.3%,18.6%,28,,51.7%,18.6%,29.7%,,54.1%,14.0%,32.0%
610041,2017,ELA/Literacy Grade 3,134,,735,20.9%,20.1%,24.6%,31.3%,3.0%,34.3%,43,,50.7%,23.1%,26.1%,,46.3%,20.1%,33.6%,,45.5%,26.9%,27.6%,32,,43.3%,19.4%,37.3%,,34.3%,20.9%,44.8%
610043,2017,ELA/Literacy Grade 3,41,,729,17.1%,26.8%,29.3%,26.8%,0.0%,26.8%,41,,61.0%,17.1%,22.0%,,48.8%,17.1%,34.1%,,43.9%,22.0%,34.1%,31,,39.0%,26.8%,34.1%,,41.5%,31.7%,26.8%
610044,2017,ELA/Literacy Grade 3,59,,719,32.2%,22.0%,22.0%,23.7%,0.0%,23.7%,35,,67.8%,13.6%,18.6%,,57.6%,30.5%,11.9%,,66.1%,10.2%,23.7%,29,,47.5%,22.0%,30.5%,,37.3%,13.6%,49.2%
610046,2017,ELA/Literacy Grade 3,170,,742,19.4%,17.6%,20.0%,32.9%,10.0%,42.9%,45,,48.2%,18.2%,33.5%,,38.8%,25.9%,35.3%,,47.1%,11.2%,41.8%,34,,36.5%,17.6%,45.9%,,28.2%,15.9%,55.9%
610047,2017,ELA/Literacy Grade 3,25,,733,24.0%,16.0%,16.0%,44.0%,0.0%,44.0%,46,,40.0%,16.0%,44.0%,,24.0%,20.0%,56.0%,,36.0%,24.0%,40.0%,26,,60.0%,16.0%,24.0%,,56.0%,12.0%,32.0%
610048,2017,ELA/Literacy Grade 3,30,,736,6.7%,36.7%,23.3%,33.3%,0.0%,33.3%,44,,53.3%,16.7%,30.0%,,36.7%,40.0%,23.3%,,36.7%,26.7%,36.7%,32,,43.3%,16.7%,40.0%,,30.0%,40.0%,30.0%
610052,2017,ELA/Literacy Grade 3,32,,696,65.6%,6.3%,21.9%,6.3%,0.0%,6.3%,29,,81.3%,15.6%,3.1%,,78.1%,18.8%,3.1%,,84.4%,6.3%,9.4%,21,,81.3%,3.1%,15.6%,,78.1%,9.4%,12.5%
610053,2017,ELA/Literacy Grade 3,152,,708,41.4%,24.3%,21.7%,12.5%,0.0%,12.5%,34,,66.4%,20.4%,13.2%,,59.2%,25.7%,15.1%,,69.1%,15.1%,15.8%,23,,64.5%,21.1%,14.5%,,68.4%,16.4%,15.1%
610054,2017,ELA/Literacy Grade 3,91,,724,26.4%,25.3%,29.7%,17.6%,1.1%,18.7%,38,,64.8%,15.4%,19.8%,,49.5%,30.8%,19.8%,,59.3%,17.6%,23.1%,30,,48.4%,27.5%,24.2%,,36.3%,27.5%,36.3%
610055,2017,ELA/Literacy Grade 3,38,,719,36.8%,10.5%,34.2%,18.4%,0.0%,18.4%,37,,57.9%,31.6%,10.5%,,55.3%,21.1%,23.7%,,65.8%,7.9%,26.3%,27,,50.0%,18.4%,31.6%,,57.9%,15.8%,26.3%
610056,2017,ELA/Literacy Grade 3,45,,726,33.3%,13.3%,17.8%,35.6%,0.0%,35.6%,43,,55.6%,8.9%,35.6%,,46.7%,17.8%,35.6%,,51.1%,13.3%,35.6%,25,,55.6%,17.8%,26.7%,,57.8%,17.8%,24.4%
610057,2017,ELA/Literacy Grade 3,62,,713,41.9%,25.8%,17.7%,11.3%,3.2%,14.5%,34,,72.6%,14.5%,12.9%,,66.1%,17.7%,16.1%,,75.8%,9.7%,14.5%,26,,56.5%,22.6%,21.0%,,64.5%,8.1%,27.4%
610059,2017,ELA/Literacy Grade 3,78,,777,2.6%,7.7%,15.4%,53.8%,20.5%,74.4%,59,,15.4%,14.1%,70.5%,,16.7%,21.8%,61.5%,,9.0%,23.1%,67.9%,42,,10.3%,12.8%,76.9%,,11.5%,16.7%,71.8%
610060,2017,ELA/Literacy Grade 3,63,,762,3.2%,9.5%,31.7%,39.7%,15.9%,55.6%,55,,22.2%,23.8%,54.0%,,22.2%,30.2%,47.6%,,15.9%,23.8%,60.3%,38,,28.6%,15.9%,55.6%,,12.7%,19.0%,68.3%
610062,2017,ELA/Literacy Grade 3,33,,722,30.3%,21.2%,27.3%,21.2%,0.0%,21.2%,40,,66.7%,15.2%,18.2%,,54.5%,18.2%,27.3%,,48.5%,12.1%,39.4%,26,,57.6%,21.2%,21.2%,,57.6%,15.2%,27.3%
610063,2017,ELA/Literacy Grade 3,110,,715,36.4%,19.1%,28.2%,15.5%,0.9%,16.4%,36,,70.9%,12.7%,16.4%,,59.1%,23.6%,17.3%,,64.5%,16.4%,19.1%,26,,57.3%,20.0%,22.7%,,54.5%,16.4%,29.1%
610065,2017,ELA/Literacy Grade 3,47,,701,55.3%,23.4%,10.6%,10.6%,0.0%,10.6%,31,,80.9%,12.8%,6.4%,,70.2%,25.5%,4.3%,,74.5%,19.1%,6.4%,20,,70.2%,19.1%,10.6%,,70.2%,10.6%,19.1%
610066,2017,ELA/Literacy Grade 3,27,,797,0.0%,7.4%,3.7%,44.4%,44.4%,88.9%,66,,7.4%,7.4%,85.2%,,7.4%,3.7%,88.9%,,7.4%,11.1%,81.5%,46,,7.4%,7.4%,85.2%,,0.0%,0.0%,100.0%
610067,2017,ELA/Literacy Grade 3,97,,710,38.1%,27.8%,19.6%,14.4%,0.0%,14.4%,35,,67.0%,19.6%,13.4%,,66.0%,18.6%,15.5%,,68.0%,16.5%,15.5%,24,,66.0%,19.6%,14.4%,,63.9%,13.4%,22.7%
610068,2017,ELA/Literacy Grade 3,144,,729,23.6%,23.6%,22.9%,27.8%,2.1%,29.9%,40,,56.3%,12.5%,31.3%,,49.3%,25.7%,25.0%,,52.8%,13.9%,33.3%,31,,43.8%,22.2%,34.0%,,39.6%,16.7%,43.8%
610070,2017,ELA/Literacy Grade 3,59,,736,18.6%,13.6%,28.8%,37.3%,1.7%,39.0%,45,,39.0%,20.3%,40.7%,,39.0%,30.5%,30.5%,,35.6%,18.6%,45.8%,31,,35.6%,18.6%,45.8%,,44.1%,18.6%,37.3%
610073,2017,ELA/Literacy Grade 3,50,,761,2.0%,12.0%,20.0%,58.0%,8.0%,66.0%,55,,18.0%,24.0%,58.0%,,20.0%,20.0%,60.0%,,20.0%,20.0%,60.0%,37,,18.0%,22.0%,60.0%,,18.0%,8.0%,74.0%
610074,2017,ELA/Literacy Grade 3,96,,718,36.5%,22.9%,18.8%,19.8%,2.1%,21.9%,36,,63.5%,18.8%,17.7%,,54.2%,26.0%,19.8%,,67.7%,12.5%,19.8%,28,,54.2%,16.7%,29.2%,,50.0%,20.8%,29.2%
610076,2017,ELA/Literacy Grade 3,50,,740,20.0%,10.0%,26.0%,42.0%,2.0%,44.0%,45,,42.0%,26.0%,32.0%,,40.0%,32.0%,28.0%,,32.0%,28.0%,40.0%,34,,30.0%,24.0%,46.0%,,26.0%,20.0%,54.0%
610077,2017,ELA/Literacy Grade 3,101,,700,48.5%,27.7%,17.8%,5.9%,0.0%,5.9%,30,,83.2%,8.9%,7.9%,,78.2%,12.9%,8.9%,,80.2%,11.9%,7.9%,23,,69.3%,16.8%,13.9%,,65.3%,17.8%,16.8%
610078,2017,ELA/Literacy Grade 3,72,,746,9.7%,19.4%,20.8%,43.1%,6.9%,50.0%,47,,40.3%,22.2%,37.5%,,37.5%,25.0%,37.5%,,37.5%,15.3%,47.2%,35,,26.4%,25.0%,48.6%,,25.0%,12.5%,62.5%
610081,2017,ELA/Literacy Grade 3,64,,763,3.1%,7.8%,15.6%,73.4%,0.0%,73.4%,52,,23.4%,20.3%,56.3%,,15.6%,20.3%,64.1%,,21.9%,21.9%,56.3%,40,,4.7%,20.3%,75.0%,,10.9%,7.8%,81.3%
610082,2017,ELA/Literacy Grade 3,128,,771,1.6%,8.6%,18.8%,57.0%,14.1%,71.1%,56,,18.0%,17.2%,64.8%,,16.4%,21.1%,62.5%,,10.9%,19.5%,69.5%,41,,11.7%,19.5%,68.8%,,9.4%,9.4%,81.3%
610084,2017,ELA/Literacy Grade 3,29,,804,0.0%,0.0%,3.4%,58.6%,37.9%,96.6%,72,,0.0%,10.3%,89.7%,,6.9%,0.0%,93.1%,,0.0%,3.4%,96.6%,47,,0.0%,3.4%,96.6%,,0.0%,6.9%,93.1%
610086,2017,ELA/Literacy Grade 3,34,,720,29.4%,29.4%,14.7%,26.5%,0.0%,26.5%,38,,58.8%,11.8%,29.4%,,52.9%,32.4%,14.7%,,52.9%,20.6%,26.5%,27,,52.9%,20.6%,26.5%,,47.1%,32.4%,20.6%
610088,2017,ELA/Literacy Grade 3,76,,717,30.3%,26.3%,28.9%,14.5%,0.0%,14.5%,36,,69.7%,17.1%,13.2%,,56.6%,22.4%,21.1%,,73.7%,13.2%,13.2%,27,,57.9%,14.5%,27.6%,,50.0%,25.0%,25.0%
610089,2017,ELA/Literacy Grade 3,71,,734,18.3%,18.3%,31.0%,31.0%,1.4%,32.4%,41,,53.5%,19.7%,26.8%,,38.0%,31.0%,31.0%,,49.3%,25.4%,25.4%,33,,33.8%,21.1%,45.1%,,32.4%,14.1%,53.5%
610090,2017,ELA/Literacy Grade 3,59,,742,16.9%,18.6%,20.3%,40.7%,3.4%,44.1%,46,,49.2%,6.8%,44.1%,,39.0%,18.6%,42.4%,,40.7%,11.9%,47.5%,33,,32.2%,30.5%,37.3%,,20.3%,20.3%,59.3%
610091,2017,ELA/Literacy Grade 3,43,,734,11.6%,27.9%,23.3%,37.2%,0.0%,37.2%,42,,48.8%,23.3%,27.9%,,48.8%,25.6%,25.6%,,44.2%,23.3%,32.6%,32,,32.6%,25.6%,41.9%,,32.6%,20.9%,46.5%
610092,2017,ELA/Literacy Grade 3,36,,711,36.1%,36.1%,13.9%,13.9%,0.0%,13.9%,35,,69.4%,13.9%,16.7%,,72.2%,8.3%,19.4%,,66.7%,25.0%,8.3%,24,,75.0%,11.1%,13.9%,,58.3%,13.9%,27.8%
610093,2017,ELA/Literacy Grade 3,27,,705,44.4%,33.3%,7.4%,14.8%,0.0%,14.8%,34,,70.4%,22.2%,7.4%,,66.7%,18.5%,14.8%,,63.0%,11.1%,25.9%,21,,81.5%,11.1%,7.4%,,70.4%,14.8%,14.8%
610094,2017,ELA/Literacy Grade 3,79,,752,8.9%,16.5%,19.0%,49.4%,6.3%,55.7%,53,,25.3%,19.0%,55.7%,,26.6%,20.3%,53.2%,,21.5%,8.9%,69.6%,32,,39.2%,21.5%,39.2%,,36.7%,20.3%,43.0%
610095,2017,ELA/Literacy Grade 3,56,,737,16.1%,21.4%,23.2%,37.5%,1.8%,39.3%,46,,46.4%,14.3%,39.3%,,37.5%,28.6%,33.9%,,39.3%,17.9%,42.9%,30,,44.6%,26.8%,28.6%,,35.7%,17.9%,46.4%
610096,2017,ELA/Literacy Grade 3,145,,722,30.3%,20.0%,26.9%,22.8%,0.0%,22.8%,38,,62.1%,20.0%,17.9%,,53.8%,26.2%,20.0%,,60.0%,18.6%,21.4%,29,,51.0%,16.6%,32.4%,,40.7%,22.8%,36.6%
610097,2017,ELA/Literacy Grade 3,127,,714,35.4%,22.8%,27.6%,14.2%,0.0%,14.2%,36,,66.1%,18.1%,15.7%,,55.1%,28.3%,16.5%,,63.0%,18.1%,18.9%,25,,63.0%,20.5%,16.5%,,56.7%,14.2%,29.1%
610098,2017,ELA/Literacy Grade 3,92,,714,38.0%,20.7%,18.5%,22.8%,0.0%,22.8%,36,,59.8%,23.9%,16.3%,,52.2%,23.9%,23.9%,,58.7%,15.2%,26.1%,25,,65.2%,10.9%,23.9%,,60.9%,15.2%,23.9%
610099,2017,ELA/Literacy Grade 3,56,,783,5.4%,0.0%,7.1%,69.6%,17.9%,87.5%,62,,10.7%,8.9%,80.4%,,7.1%,16.1%,76.8%,,12.5%,8.9%,78.6%,43,,5.4%,5.4%,89.3%,,3.6%,0.0%,96.4%
610100,2017,ELA/Literacy Grade 3,69,,709,43.5%,26.1%,10.1%,20.3%,0.0%,20.3%,34,,71.0%,10.1%,18.8%,,69.6%,14.5%,15.9%,,71.0%,13.0%,15.9%,24,,62.3%,18.8%,18.8%,,63.8%,8.7%,27.5%
610101,2017,ELA/Literacy Grade 3,140,,747,13.6%,15.0%,19.3%,47.9%,4.3%,52.1%,48,,36.4%,19.3%,44.3%,,32.9%,20.0%,47.1%,,30.7%,17.1%,52.1%,34,,32.1%,18.6%,49.3%,,25.7%,15.7%,58.6%
610102,2017,ELA/Literacy Grade 3,62,,711,38.7%,24.2%,24.2%,11.3%,1.6%,12.9%,35,,67.7%,17.7%,14.5%,,77.4%,11.3%,11.3%,,61.3%,19.4%,19.4%,24,,64.5%,14.5%,21.0%,,67.7%,14.5%,17.7%
610103,2017,ELA/Literacy Grade 3,86,,706,47.7%,19.8%,15.1%,17.4%,0.0%,17.4%,34,,70.9%,8.1%,20.9%,,69.8%,17.4%,12.8%,,65.1%,15.1%,19.8%,22,,72.1%,11.6%,16.3%,,70.9%,11.6%,17.4%
610104,2017,ELA/Literacy Grade 3,72,,740,13.9%,19.4%,20.8%,45.8%,0.0%,45.8%,46,,43.1%,18.1%,38.9%,,37.5%,30.6%,31.9%,,33.3%,13.9%,52.8%,32,,37.5%,12.5%,50.0%,,26.4%,19.4%,54.2%
610105,2017,ELA/Literacy Grade 3,86,,766,1.2%,10.5%,17.4%,65.1%,5.8%,70.9%,54,,19.8%,12.8%,67.4%,,18.6%,23.3%,58.1%,,20.9%,19.8%,59.3%,39,,15.1%,11.6%,73.3%,,4.7%,12.8%,82.6%
610106,2017,ELA/Literacy Grade 3,78,,691,65.4%,23.1%,10.3%,1.3%,0.0%,1.3%,28,,89.7%,5.1%,5.1%,,80.8%,15.4%,3.8%,,82.1%,9.0%,9.0%,17,,91.0%,7.7%,1.3%,,88.5%,9.0%,2.6%
